디자이너 이름,헤어샵 주소,지역,전문분야,대면 컨설팅금액,비대면 컨설팅금액,대면 / 비대면,한 줄 소개 (띄어쓰기 포함 30자)
서우 컬러리스트,서울 영등포구 당산로 96길,서울 전체,염색,"36,400","22,900",비대면,손질이 편한 스타일 추천
서수 원장,서울 강남구 테헤란로 97길,강남/청담/압구정,펌,"43,900","22,500","대면, 비대면",청담동 감성 헤어 디자이너
오경 대표원장,서울 강남구 테헤란로 37길,강남/청담/압구정,컷,"46,900","31,500",대면,손질이 편한 스타일 추천
영자 원장,서울 광진구 아차산로 88길,성수/건대,염색,"46,500","20,700","대면, 비대면",고객 맞춤 컷팅 장인
하희 수석 디자이너,서울 용산구 한강대로 28길,서울 전체,염색,"40,900","49,400","대면, 비대면",트렌디한 디자인을 창조합니다
서경 원장,서울 용산구 한강대로 68길,서울 전체,탈염색,"33,300","43,700","대면, 비대면",세련된 컬러링 전문가
예우 대표원장,서울 강남구 테헤란로 25길,강남/청담/압구정,염색,"39,500","20,100",비대면,세련된 컬러링 전문가
영늘 수석 디자이너,서울 강남구 테헤란로 28길,강남/청담/압구정,펌,"41,500","36,700","대면, 비대면",감성적인 스타일링 전문가
로훈 디자이너,서울 강남구 압구정로 6길,강남/청담/압구정,펌,"38,600","28,700",비대면,당신에게 꼭 맞는 헤어스타일 추천
영연 대표원장,서울 용산구 한강대로 89길,서울 전체,탈염색,"44,200","34,600","대면, 비대면",고객 맞춤 컷팅 장인
로늘 컬러리스트,서울 송파구 올림픽로 90길,서울 전체,펌,"32,600","44,200",대면,손질이 편한 스타일 추천
지수 대표원장,서울 광진구 아차산로 82길,성수/건대,컷,"32,200","32,900","대면, 비대면",맞춤형 스타일링 전문
도자 팀장,서울 강남구 압구정로 51길,강남/청담/압구정,염색,"37,300","37,800","대면, 비대면",당신에게 꼭 맞는 헤어스타일 추천
하우 원장,서울 강남구 압구정로 87길,강남/청담/압구정,탈염색,"47,600","22,500",대면,"단발 마스터, 스타일 변신 도와드려요"
로예 디자이너,서울 강남구 테헤란로 98길,강남/청담/압구정,펌,"48,100","36,700","대면, 비대면","볼륨펌의 정석, 자신 있습니다"
